"Name","BD","Pos","Team","GP","EVG","EVA","EVPTS","EVPTS/G","EVPTS%"
"David Legwand",1980-08-17,"C","Plymouth Whalers",15,7,8,15,1,75
"Daniel Cleary",1978-12-18,"LW","Belleville Bulls",10,4,10,14,1.4,61
"Harold Druken",1979-01-26,"C","Plymouth Whalers",15,6,8,14,0.93,70
"Dan Tessier",1979-01-03,"C","Ottawa 67's",14,5,8,13,0.93,68
"Jan Bulis",1978-03-18,"C","Kingston Frontenacs",12,6,6,12,1,67
"Manny Malhotra",1980-05-18,"C","Guelph Storm",13,6,6,12,0.92,75
"Mike Oliveira",1979-02-21,"C","Kingston Frontenacs",12,4,8,12,1,63
"Ben Gustavson",1978-04-23,"C","Ottawa 67's",14,6,5,11,0.79,69
"Jason Doyle",1978-05-15,"RW","Owen Sound Platers",10,7,4,11,1.1,100
"Matt Zultek",1979-03-12,"LW","Ottawa 67's",14,4,7,11,0.79,61
"Sean Avery",1980-04-10,"C","Owen Sound Platers",11,1,10,11,1,92
"Brian Willsie",1978-03-16,"RW","Guelph Storm",13,8,2,10,0.77,62
"Kent McDonell",1979-03-01,"RW","Guelph Storm",13,7,3,10,0.77,91
"Nick Bootland",1978-07-21,"LW","Guelph Storm",13,6,4,10,0.77,77
"Rico Fata",1980-02-12,"C","London Knights",16,8,2,10,0.62,71
"Troy Stonier",1977-06-05,"LW","Ottawa 67's",14,4,6,10,0.71,59
"Jason Jackman",1977-05-16,"C","Guelph Storm",13,2,7,9,0.69,56
"Jason Sands",1977-03-21,"C","Sudbury Wolves",9,2,7,9,1,82
"Mark Bell",1980-05-08,"C","Ottawa 67's",14,4,5,9,0.64,82
"Matt Lahey",1977-10-12,"RW","Guelph Storm",13,4,5,9,0.69,82
"Tom Kostopoulos",1979-01-24,"RW","London Knights",16,5,4,9,0.56,90
"Andrew Taylor",1977-01-17,"LW","Plymouth Whalers",15,2,6,8,0.53,50
"Brian Campbell",1979-05-23,"D","Ottawa 67's",14,0,8,8,0.57,53
"Chris Kelly",1980-11-11,"C","London Knights",16,3,5,8,0.5,89
"Colin Chaulk",1977-01-07,"C","Kingston Frontenacs",12,3,5,8,0.67,73
"Dan Tudin",1978-08-03,"LW","Ottawa 67's",14,3,5,8,0.57,80
"Joel Trottier",1977-02-11,"RW","Belleville Bulls",10,4,4,8,0.8,73
"Mark Cadotte",1977-03-11,"C","London Knights",16,5,3,8,0.5,42
"Adam Mair",1979-02-17,"C","Owen Sound Platers",11,6,1,7,0.64,78
"Jay Legault",1979-05-15,"C","London Knights",16,1,6,7,0.44,78
"Jim Midgley",1978-03-05,"C","Belleville Bulls",10,3,4,7,0.7,78
"Joe Talbot",1980-04-23,"C","Ottawa 67's",14,4,3,7,0.5,100
"Jonas Soling",1978-09-07,"LW","Sudbury Wolves",10,0,7,7,0.7,100
"Kevin Baker",1979-06-15,"RW","Belleville Bulls",9,3,4,7,0.78,78
"Maxim Spiridonov",1978-04-07,"RW","London Knights",16,3,4,7,0.44,100
"Richard Pitirri",1978-01-01,"C","London Knights",16,2,5,7,0.44,58
"Tim Connolly",1981-05-07,"C","Erie Otters",7,1,6,7,1,100
"Colin Beardsmore",1978-02-07,"LW","Owen Sound Platers",11,2,4,6,0.55,86
"Colin Pepperall",1978-04-28,"LW","Erie Otters",7,3,3,6,0.86,75
