"Name","BD","Pos","Team","GP","EVG","EVA","EVPTS","EVPTS/G","EVPTS%"
"Andrew LeBlanc",2004-06-03,"C","Sarnia Sting",5,7,1,8,1.6,100
"Carson Rehkopf",2005-01-07,"C","Kitchener Rangers",4,3,3,6,1.5,55
"Cole Beaudoin",2006-04-24,"C","Barrie Colts",4,3,3,6,1.5,75
"Luke Misa",2005-11-25,"C","Mississauga Steelheads",6,2,4,6,1,75
"Martin Misiak",2004-09-30,"C","Erie Otters",3,1,5,6,2,100
"Ondrej Molnar",2005-02-08,"LW","Erie Otters",5,4,2,6,1.2,86
"Trent Swick",2004-04-25,"LW","Kitchener Rangers",5,2,4,6,1.2,86
"Jake O'Brien",2007-06-16,"C","Brantford Bulldogs",6,1,4,5,0.83,83
"Lawson Sherk",2003-05-03,"C","Brantford Bulldogs",4,3,2,5,1.25,100
"Lucas Karmiris",2006-09-27,"C","Mississauga Steelheads",6,2,3,5,0.83,100
"Marko Sikic",2003-03-24,"RW","Sarnia Sting",4,2,3,5,1.25,83
"Matthew Sop",2003-02-04,"C","Kitchener Rangers",6,3,2,5,0.83,50
"Nick Lardis",2005-07-08,"RW","Brantford Bulldogs",2,2,3,5,2.5,100
"Owen Allard",2004-01-13,"C","Soo Greyhounds",3,1,4,5,1.67,62
"Simon Slavicek",2004-02-02,"C","Flint Firebirds",4,4,1,5,1.25,83
"Adrian Misaljevic",2004-07-10,"RW","Kitchener Rangers",6,2,2,4,0.67,100
"Aidan Castle",2004-01-08,"RW","Windsor Spitfires",5,3,1,4,0.8,100
"Anthony Romani",2005-07-12,"RW","North Bay Battalion",3,3,1,4,1.33,100
"Ben Bujold",2004-03-03,"C","Brantford Bulldogs",6,0,4,4,0.67,100
"Brady Martin",2007-03-16,"C","Soo Greyhounds",4,3,1,4,1,57
"Braeden O'Keefe",2005-06-08,"C","Brantford Bulldogs",4,2,2,4,1,100
"Cameron Reid",2007-04-08,"LD","Kitchener Rangers",5,1,3,4,0.8,100
"Dylan Tsherna",2007-02-22,"RW","Brantford Bulldogs",6,3,1,4,0.67,100
"Juan Copeland",2005-09-03,"LW","London Knights",4,0,4,4,1,100
"Kaleb Smith",2004-05-14,"RW","Erie Otters",5,1,3,4,0.8,100
"Leo Serlin",2006-01-20,"RW","Guelph Storm",6,3,1,4,0.67,100
"Liam Greentree",2006-01-01,"RW","Windsor Spitfires",5,1,3,4,0.8,57
"Malcolm Spence",2006-09-22,"LW","Erie Otters",5,3,1,4,0.8,100
"Marek Vanacker",2006-04-12,"LW","Brantford Bulldogs",6,4,0,4,0.67,100
"Matheas Stark",2007-01-14,"LW","Kitchener Rangers",6,4,0,4,0.67,67
"Matthew Schaefer",2007-09-05,"D","Erie Otters",6,2,2,4,0.67,67
"Ryan Abraham",2004-04-05,"C","Windsor Spitfires",5,2,2,4,0.8,100
"Ryan Del Monte",2003-04-03,"C","Mississauga Steelheads",4,1,3,4,1,80
"Sam Alfano",2004-01-18,"RW","Erie Otters",3,0,4,4,1.33,100
"Tanner Lam",2007-07-14,"RW","Kitchener Rangers",6,1,3,4,0.67,67
"Travis Hayes",2007-09-03,"RW","Soo Greyhounds",4,1,3,4,1,100
"Valentin Zhugin",2004-12-13,"LW","Saginaw Spirit",4,3,1,4,1,50
"Alex Assadourian",2005-07-24,"C","Niagara IceDogs",3,1,2,3,1,60
"Beau Jelsma",2004-04-28,"C","Barrie Colts",3,1,2,3,1,100
"Braeden Bowman",2003-06-26,"RW","Guelph Storm",6,2,1,3,0.5,50
"Brennan Faulkner",2005-12-28,"LW","Peterborough Petes",5,1,2,3,0.6,100
"Brody Partridge",2006-09-14,"C","Peterborough Petes",5,2,1,3,0.6,100
"Bruce McDonald",2004-12-18,"C","Erie Otters",5,1,2,3,0.6,100
"Cameron Mercer",2005-05-27,"C","Kitchener Rangers",6,0,3,3,0.5,50
"Charlie Paquette",2005-12-06,"RW","Guelph Storm",6,2,1,3,0.5,100
"Chas Sharpe",2003-11-28,"D","Mississauga Steelheads",4,1,2,3,0.75,75
"Cooper Matthews",2004-02-11,"RW","Barrie Colts",4,1,2,3,0.75,60
"Cooper Way",2003-06-11,"C","Sarnia Sting",4,0,3,3,0.75,100
"Dalyn Wakely",2004-03-05,"C","North Bay Battalion",3,0,3,3,1,100
"Daylen Moses",2005-06-13,"C","Sarnia Sting",4,1,2,3,0.75,100
"Declan Waddick",2005-01-24,"C","Owen Sound Attack",4,0,3,3,0.75,75
"Dennis Lominac",2006-01-11,"LW","Sarnia Sting",5,2,1,3,0.6,75
"Devin Mauro",2004-06-06,"LW","Sudbury Wolves",4,3,0,3,0.75,75
"Dylan Edwards",2005-07-20,"RW","Erie Otters",5,0,3,3,0.6,100
"Ethan Burroughs",2003-06-19,"RW","Owen Sound Attack",4,1,2,3,0.75,75
"Ethan Montroy",2005-08-30,"LW","Soo Greyhounds",4,2,1,3,0.75,60
"Gavin Grundner",2004-05-12,"LW","Guelph Storm",6,0,3,3,0.5,75
"Jack Van Volsen",2006-01-12,"C","Mississauga Steelheads",6,2,1,3,0.5,100
"Jakub Fibigr",2006-07-22,"D","Mississauga Steelheads",6,0,3,3,0.5,75
"Jonathan Melee",2004-01-15,"LW","Peterborough Petes",4,1,2,3,0.75,50
"Josh Kavanagh",2003-05-06,"D","Barrie Colts",4,0,3,3,0.75,100
"Julian Fantino",2004-02-05,"RW","Soo Greyhounds",4,1,2,3,0.75,75
"Justin Cloutier",2005-06-20,"RW","Soo Greyhounds",3,2,1,3,1,75
"Kyler Morgan",2005-05-07,"LW","Windsor Spitfires",5,1,2,3,0.6,100
"Luke Ellinas",2006-03-12,"LW","Kitchener Rangers",6,1,2,3,0.5,100
"Luke Torrance",2004-03-30,"LW","Oshawa Generals",3,2,1,3,1,75
"Maddox Callens",2003-02-11,"LW","Kingston Frontenacs",4,2,1,3,0.75,100
"Mason Zebeski",2005-10-04,"LW","Mississauga Steelheads",6,2,1,3,0.5,100
"Max Anderson",2007-07-18,"C","Flint Firebirds",2,2,1,3,1.5,100
"Mitch Young",2005-04-29,"D","Sarnia Sting",4,2,1,3,0.75,75
"Nathan Aspinall",2006-03-30,"LW","Flint Firebirds",4,1,2,3,0.75,100
"Nolan Dann",2003-05-21,"RW","Flint Firebirds",3,0,3,3,1,75
"Owen Griffin",2007-04-08,"C","Oshawa Generals",4,2,1,3,0.75,60
"Parker Snelgrove",2007-01-20,"C","Guelph Storm",6,0,3,3,0.5,100
"Porter Martone",2006-10-26,"RW","Mississauga Steelheads",4,1,2,3,0.75,60
"Riley Patterson",2006-03-22,"C","Barrie Colts",4,1,2,3,0.75,60
"Roenick Jodoin",2004-09-10,"C","Barrie Colts",4,2,1,3,0.75,75
"Ryan Humphrey",2003-04-08,"LW","Niagara IceDogs",3,0,3,3,1,75
"Simon Motew",2003-03-31,"RD","Kitchener Rangers",6,1,2,3,0.5,75
"Stevie Leskovar",2004-09-09,"D","Mississauga Steelheads",4,1,2,3,0.75,100
"Tai York",2004-06-18,"LW","Barrie Colts",3,0,3,3,1,100
"Tate Vader",2006-01-09,"C","Soo Greyhounds",4,3,0,3,0.75,75
"William Eggleton",2006-02-19,"LW","Mississauga Steelheads",6,3,0,3,0.5,100
"Zach Filak",2004-01-21,"C","Sarnia Sting",5,0,3,3,0.6,43
"Zakary Lavoie",2004-03-13,"RW","Niagara IceDogs",5,2,1,3,0.6,75
"Adam Zidlicky",2005-01-28,"LW","Mississauga Steelheads",3,1,1,2,0.67,67
"Alex Bradshaw",2004-03-16,"LW","Flint Firebirds",4,1,1,2,0.5,100
"Andrew Wycisk",2005-07-01,"D","Niagara IceDogs",4,2,0,2,0.5,67
"Angus MacDonell",2005-05-11,"C","Mississauga Steelheads",3,1,1,2,0.67,100
"Beckett Sennecke",2006-01-28,"RW","Oshawa Generals",3,2,0,2,0.67,100
"Ben Danford",2006-02-06,"D","Oshawa Generals",3,0,2,2,0.67,100
"Ben Radley",2007-07-29,"D","Brantford Bulldogs",5,0,2,2,0.4,100
"Bode Stewart",2006-02-09,"LW","Barrie Colts",4,1,1,2,0.5,100
"Brett Hammond",2006-09-08,"RW","Erie Otters",6,1,1,2,0.33,100
"Calem Mangone",2004-11-04,"RW","Saginaw Spirit",3,1,1,2,0.67,67
"Callum Cheynowski",2006-08-04,"D","Brantford Bulldogs",6,0,2,2,0.33,100
"Carey Terrance",2005-05-10,"C","Erie Otters",2,2,0,2,1,67
"Cedricson Okitundu",2004-01-03,"D","Brantford Bulldogs",4,1,1,2,0.5,100
"Chase Coughlan",2005-06-17,"RW","Sudbury Wolves",4,2,0,2,0.5,100
"Chase Lefebvre",2004-05-13,"LW","Peterborough Petes",5,1,1,2,0.4,67
"Chase MacQueen-Spence",2005-01-09,"LW","North Bay Battalion",3,1,1,2,0.67,100
"Connor Punnett",2003-06-16,"D","Barrie Colts",2,0,2,2,1,100
"Coulson Pitre",2004-12-13,"RW","Flint Firebirds",1,2,0,2,2,67
"Daks Klinkhammer",2005-08-14,"LW","Flint Firebirds",4,1,1,2,0.5,100
"Davis Codd",2003-08-19,"RW","Saginaw Spirit",2,2,0,2,1,100
"Dylan Richter",2006-07-11,"C","North Bay Battalion",4,1,1,2,0.5,100
"Dylan Roobroeck",2004-07-27,"C","Oshawa Generals",1,1,1,2,2,100
"Dylan Woulds",2006-03-28,"D","Peterborough Petes",5,0,2,2,0.4,100
"Eduard Šalé",2005-03-10,"RW","Barrie Colts",2,2,0,2,1,67
"Ethan Toms",2006-01-19,"C","Oshawa Generals",4,1,1,2,0.5,100
"Florian Xhekaj",2004-06-27,"LW","Brantford Bulldogs",3,2,0,2,0.67,100
"Frankie Marrelli",2006-02-16,"D","Ottawa 67's",3,1,1,2,0.67,100
"Gavin Bryant",2004-07-24,"C","Niagara IceDogs",5,2,0,2,0.4,67
"Gavin Ewles",2005-03-01,"D","Ottawa 67's",4,1,1,2,0.5,100
"Harry Nansi",2007-09-10,"C","Owen Sound Attack",4,1,1,2,0.5,100
"Henry Mews",2006-03-09,"D","Ottawa 67's",3,0,2,2,0.67,67
"Jack D'Arcy",2007-12-02,"D","Flint Firebirds",2,0,2,2,1,100
"Jack Nesbitt",2007-01-12,"C","Windsor Spitfires",5,1,1,2,0.4,100
"James Barr",2007-06-01,"D","Sarnia Sting",5,0,2,2,0.4,100
"Jax Dubois",2003-06-18,"C","Peterborough Petes",4,1,1,2,0.5,67
